Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
Cafe Charlotte,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-535-1522,"1497 Washington Ave This Should Be Miami beach Florida, Not north Miami beach - They Are Different Cities, North Miami Beach, FL 33139-4111",215 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0a/6b/65/83/photo0jpg.jpg
Cafe Prima Pasta,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-867-0106,"414 71st St, Miami Beach, FL 33141-3016",2868 opiniones,"4,5",No disponible,No disponible,bestfood@cafeprimapasta.net,https://media-cdn.tripadvisor.com/media/photo-s/03/72/88/52/cafe-prima-pasta.jpg
Cafe Vialetto,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-446-5659,"4019 S Le Jeune Rd, Coral Gables, FL 33146-1310",200 opiniones,"4,5",http://www.caffevialetto.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/91/a0/3d/cafe-vialetto.jpg
Caffè & Bottega,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-296-2665,"1717 N Bayshore Dr, Miami, FL 33132-1180",62 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/0d/18/c0/c7/photo0jpg.jpg
Caffe Di Notte,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-412-3310,"9793 SW 72nd St, Miami, FL 33173-4615",53 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/a1/f3/bb/chicken-dish.jpg
Caffe Italia,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-441-1199,"3800 SW 8th St, Coral Gables, FL 33134-3002",59 opiniones,"4,5",http://www.caffeitaliaweb.com/,No disponible,caffeitalia@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/11/49/11/27/caffe-italia.jpg
Caffe Milano Miami Beach,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-249-7841,"850 Ocean Dr, Miami Beach, FL 33139-5826",2068 opiniones,"4,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d466628-Reviews-Caffe_Milano_Miami_Beach-Miami_Beach_Florida.html#,info@caffemilanomiamibeach.com,https://media-cdn.tripadvisor.com/media/photo-s/24/93/a1/c8/lobster.jpg
Caffe Portofino,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-252-2869,"13615 S Dixie Hwy, Miami, FL 33176-7254",81 opiniones,"4,5",No disponible,No disponible,Mauricio@cportofino.com,https://media-cdn.tripadvisor.com/media/photo-s/06/60/aa/3d/caffe-portofino.jpg
Call Me Gaby,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-531-4800,"22 Washington Ave, Miami Beach, FL 33139-7354",185 opiniones,"4,5",No disponible,No disponible,info@callmegaby.com,https://media-cdn.tripadvisor.com/media/photo-s/13/1f/c8/3f/pasta.jpg
Cane A Sucre,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-377-4722,"21 NW Miami Ct, Miami, FL 33128-1829",13 opiniones,"4,5",http://caneasucre.com/,http://caneasucre.com/our-menu/,info@caneasucre.com,https://media-cdn.tripadvisor.com/media/photo-s/13/f7/c0/c4/filet-de-boeuf.jpg
Capelli D' Angelo,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-222-0585,"4001 SW 152 Ave, Miami, FL 33185-5919",6 opiniones,"4,5",No disponible,No disponible,capellidangelo1@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/80/ce/4a/linguine-frutti-di-mare.jpg
Capri Sushi & Italian,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-534-0551,"726 Arthur Godfrey Rd, Miami Beach, FL 33140-3414",49 opiniones,"3,5",No disponible,No disponible,info@caprimiamibeach.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/7b/62/71/photo0jpg.jpg
Carrabba's Italian Grill,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-661-2426,"5829 SW 73rd St, Miami, FL 33143-5275",35 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/08/fe/40/aa/photo1jpg.jpg
Carrot Express,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 786-471-5597,"7145 Collins Ave, Miami, FL 33141",27 opiniones,"4,5",http://eatcarrotexpress.com/,https://eatcarrotexpress.com/menu/,abassal@eatcarrotexpress.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/0a/57/5a/eat-healthy-eat-delicious.jpg
Casa Isola Osteria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-400-8173,"1418 20th St, Miami Beach, FL 33139-1412",10 opiniones,"4,0",No disponible,No disponible,info@casaisolamiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/9f/cf/66/casa-isola-osteria.jpg
Casa Mia,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-725-6968,"1334 Washington Ave, Miami Beach, FL 33139-4260",2 opiniones,"4,5",No disponible,No disponible,casamiasouthbeach@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/1a/a4/10/8e/wonderful-evening-at.jpg
Casa Tua Cucina,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-755-0320,"70 SW 7th St Saks Fifth Ave, Brickell City Center, Miami Beach, FL 33130-3010",207 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/14/10/36/df/casa-tua-cucina.jpg
Chez Georges,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 786-803-8413,"10990 Biscayne Blvd & NE 109th St, Unit 13, Miami, FL 33161-7570",9 opiniones,"5,0",No disponible,No disponible,georges.jovic@wanadoo.fr,https://media-cdn.tripadvisor.com/media/photo-s/1a/d4/39/67/creme-brulee-at-chez.jpg
Ciudad del Arte,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-731-8670,"2220 NE 2nd Ave, Miami, FL 33137-4806",4 opiniones,"5,0",No disponible,No disponible,22wynwood@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/18/a0/79/47/hello-we-are-wynwood22.jpg
Colosseum Cafe & Pizzeria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-763-8344,"510 Ocean Dr, Miami Beach, FL 33139-6616",41 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/d8/ac/b2/img-20190808-131025-largejpg.jpg
Coppola's Bistro Ristorante,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-913-6070,"7317 SW 107 Ave, Miami, FL 33173-2997",24 opiniones,"4,5",No disponible,No disponible,ristorante@coppolasbistro.com,https://media-cdn.tripadvisor.com/media/photo-s/16/6b/d2/d1/photo0jpg.jpg
Coral House,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-502-3238,"1762 Coral Way, Miami, FL 33145-2729",8 opiniones,"3,5",http://coralhousemiami.com/,https://coralhousemiami.com/miami-coral-house-food-menu,info@coralhousemiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1e/19/e8/21/pappardelle-with-mushrooms.jpg
Cote Gourmet,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-754-9012,"9999 NE 2nd Ave, Miami Shores, FL 33138-2352",88 opiniones,"4,5",No disponible,No disponible,staffcotegourmet@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/13/26/cf/e5/dining-room.jpg
Crust,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-371-7065,"668 NW 5th St, Miami, FL 33128-1622",1022 opiniones,"5,0",No disponible,No disponible,info@crustmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/12/85/4f/63/crust-pizzas.jpg
D'Oro Caffe & Market,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-371-6300,"17 NE 3rd Ave, Miami, FL 33132-2511",56 opiniones,"4,0",No disponible,No disponible,catering@dorocaffe.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/3e/2c/0e/meat-cheese-platter.jpg
Dal Plin,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 954-806-7067,"140 NE 39th St Suite 241, Miami, FL 33137-3614",6 opiniones,"4,0",No disponible,No disponible,elisabetta@dalplin.com,https://media-cdn.tripadvisor.com/media/photo-s/18/cb/5b/83/fresh-bucatini-pasta.jpg
DECK Sixteen,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-695-7400,"1600 Collins Avenue Hyatt Centric, Miami Beach, FL 33139",26 opiniones,"4,0",https://www.hyatt.com/en-US/hotel/florida/hyatt-centric-south-beach-miami/miahs/dining,https://www.tripadvisor.es/Restaurant_Review-g34439-d8288926-Reviews-DECK_Sixteen-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/bc/bf/f3/smoked-salmon.jpg
Delicias de Espana,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-669-4485,"4016 SW 57th Ave., Miami, FL 33155-5318",134 opiniones,"4,0",http://www.deliciasdeespana.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d2275283-Reviews-Delicias_de_Espana-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/03/9e/1d/0e/delicias-de-espana.jpg
Delicias De Espana #2,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-266-5529,"7384 Bird Rd, Miami, FL 33155-6634",33 opiniones,"3,5",http://www.tiendadelicias.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/0e/fb/bd/delicias-de-espana.jpg
Delicias De Espana 1,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-670-1370,"8950 SW 74th Ct, Miami, FL 33156-3171",22 opiniones,"4,0",http://www.deliciasdeespana.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/73/17/26/bacalao-a-la-vizcaina.jpg
Di Mauro`s Restaurant & Bar,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-673-5774,"1464 Washington Ave Abd 15th, Miami Beach, FL 33139-4112",809 opiniones,"5,0",http://www.caffedimauro.com/,https://www.caffedimauro.com/menu.html,caffedimauro@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/31/79/6f/pasta.jpg
Di Napoli Italian Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-255-0331,"11755 S Dixie Hwy, Miami, FL 33156-4438",40 opiniones,"3,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/15/74/85/c7/photo2jpg.jpg
Di Papa's Italian Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-271-5441,"9877 N Kendall Dr, Miami, FL 33176-1805",29 opiniones,"3,5",http://www.dipapas.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d467003-Reviews-Di_Papa_s_Italian_Restaurant-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/2a/1b/f4/di-papa-s-fine-italian.jpg
Dolce Italian Miami,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-975-2550,"1690 Collins Ave The Gale Hotel, Miami Beach, FL 33139-3137",1800 opiniones,"4,5",No disponible,No disponible,info@ldvgale.com,https://media-cdn.tripadvisor.com/media/photo-s/16/77/17/2a/dolce-s-patio-and-garden.jpg
dōma,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-953-6946,"35 Northeast 26th Street, Miami, FL 33137",67 opiniones,"4,5",No disponible,No disponible,info@domawynwood.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/b6/55/b8/caption.jpg
Donna Mare Trattoria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-673-6273,"3921 Collins Avenue inside the Cadillac Hotel, Miami Beach, FL 33140",453 opiniones,"4,5",No disponible,No disponible,info@donnamare.com,https://media-cdn.tripadvisor.com/media/photo-s/26/93/26/b7/caption.jpg
Downtown Bistro,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-374-7284,"114 SE 1st St # 116, Miami, FL 33131-1402",74 opiniones,"4,5",No disponible,No disponible,downtownbistromiami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/09/8e/48/9f/downtown-bistro.jpg
Due Baci,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-763-8926,"1920 Alton Rd, Miami Beach, FL 33139-1507",67 opiniones,"4,5",http://www.duebaci.com/,No disponible,rosinella@bellsouth.net,https://media-cdn.tripadvisor.com/media/photo-s/0c/b2/d6/31/due-baci.jpg
Échate Pa' Lla,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 786-395-7284,"7835 NW 107 Ave, Miami, FL 33178",2 opiniones,"5,0",http://www.echatepalla.com/,https://www.mediterraneumstreetfood.com/menu/,echatepallamiami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/9c/84/f7/croquetas-de-jamon-serrano.jpg
Editor Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-763-8106,"803 5th St, Miami Beach, FL 33139-6511",18 opiniones,"5,0",http://www.editorpizza.com/,https://www.toasttab.com/urbanica-5th-803-5th-street/v3,info@editorpizza.com,https://media-cdn.tripadvisor.com/media/photo-s/23/3c/35/a5/margherita-pizza-mozzarella.jpg
El Gallegazo Restaurant,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-261-4935,"7463 SW 24th St, Miami, FL 33155-1403",23 opiniones,"3,5",http://www.facebook.com/ElGallegazoRestaurant/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/8c/93/2e/el-gallegazo-restaurant.jpg
El Gallego Spanish Tavern,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-266-7365,"7171 SW 8th St, Miami, FL 33144-4659",47 opiniones,"3,5",https://elgallegospanishfood.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/cb/b2/03/el-gallego-spanish-tavern.jpg
El Manchego Restaurant,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 786-542-5260,"2500 SW 107 Avenue Suite 1, Miami, FL 33165-2470",56 opiniones,"4,5",http://elmanchegomiami.com/,http://southflorida.menupages.com/restaurants/el-manchego-restaurant/menu,elmanchegomiami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/10/46/d6/39/part-of-inside-our-restaurant.jpg
El Rincon Asturiano,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-643-8822,"225 SW 17th Ave, Miami, FL 33135-3614",105 opiniones,"4,5",http://www.elrinconasturianomiami.com/,No disponible,elrinconasturiano@yahoo.com,https://media-cdn.tripadvisor.com/media/photo-s/25/a9/97/ba/chuleton-de-ternera-a.jpg
El Ventorrillo,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 786-673-4888,"13920 SW 47th St Suite 103, Miami, FL 33175-4405",1 opinión,"5,0",http://www.elventorrillobistro.com/,No disponible,No disponible,No disponible
ELPORTEÑO,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-534-8888,"271 Miracle Mile, Coral Gables, FL 33134-5907",46 opiniones,"4,5",No disponible,No disponible,info@elporteno.us,https://media-cdn.tripadvisor.com/media/photo-s/10/b3/03/90/the-interior-later-in.jpg
Empire Lounge and Pizzeria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-662-1331,"5920 S Dixie Hwy, Miami, FL 33143-5128",6 opiniones,"4,0",No disponible,No disponible,No disponible,No disponible
Estacion Central,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-420-2205,"121 SE 1st St, Miami, FL 33131-1413",18 opiniones,"4,5",http://www.estacioncentralmiami.com/,https://www.estacioncentralmiami.com/templates/cadenas/restaurante/imagenes/EstacionCentral/cartas/carta-estacion-central.pdf,reservas@estacioncentralmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/26/e1/88/0c/great-food-great-drinks.jpg
Etzel Itzik Deli,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-937-1546,"18757 W Dixie Hwy, Miami, FL 33180-2617",85 opiniones,"4,5",http://www.etzelitzik.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/12/82/0a/photo3jpg.jpg
Extra Virgin Bistro,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-605-0819,"1610 Collins Ave, Miami Beach, FL 33139-3113",4 opiniones,"5,0",https://extravirginbistromiami.com/,https://extravirginbistromiami.com/dinner-menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/27/aa/68/49/caption.jpg
Farfalle,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-359-4104,"333 SE 2nd St, Miami, FL 33131-2203",676 opiniones,"4,5",http://farfalle.eat24hour.com/,https://menupages.com/,info@farfallemiami.com,https://media-cdn.tripadvisor.com/media/photo-p/12/ed/c1/2f/photo0jpg.jpg
Farinelli 1937,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-648-9023,"3197 Commodore Plz, Miami, FL 33133-5817",170 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d10106124-Reviews-Farinelli_1937-Miami_Florida.html#,info@farinelli1937.com,https://media-cdn.tripadvisor.com/media/photo-s/16/ac/87/60/photo0jpg.jpg
Ferraro's Kitchen Restaurant & Wine Bar,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-534-2136,"1099 NE 79th St, Miami, FL 33138-4203",360 opiniones,"5,0",http://www.ferraroskitchen.com/,https://www.ferraroskitchen.com/menu,info@ferraroskitchen.com,https://media-cdn.tripadvisor.com/media/photo-s/11/3b/fd/a9/chef-igor-ferraro.jpg
Fi'lia at SLS Brickell,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-239-1330,"1300 S Miami Ave, Miami, FL 33130-4467",281 opiniones,"4,0",No disponible,No disponible,filiamiami@sbe.com,https://media-cdn.tripadvisor.com/media/photo-s/10/85/2f/e0/photo0jpg.jpg
Flavorish Bakery & Bistro,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-754-8787,"7283 Biscayne Blvd, Miami, FL 33138-5117",22 opiniones,"4,5",http://www.flavorishmarket.com/,No disponible,jorgesan127@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/05/f0/3b/6b/flavorish-market.jpg
Foozo Artisan Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-916-2812,"2520 NE Miami Gardens Dr, Miami, FL 33180-2731",12 opiniones,"4,5",No disponible,No disponible,info@eatfoozo.com,https://media-cdn.tripadvisor.com/media/photo-s/10/61/cb/28/fresh-salad-made-to-order.jpg
Forno Italiano Pizzeria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-661-3964,"1403 Sunset Dr, Miami, FL 33143-5824",13 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1c/c6/92/8d/photo0jpg.jpg
Fratelli La Bufala,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-532-0700,"437 Washington Ave, Miami Beach, FL 33139-6617",2055 opiniones,"4,0",No disponible,No disponible,info@flbmiami.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/0d/e4/6f/charming-inside-of-restaurant.jpg
Fratelli Milano,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-373-2300,"213 SE 1st St, Miami, FL 33131-1901",668 opiniones,"4,5",No disponible,No disponible,FratelliMilano@Bellsouth.net,https://media-cdn.tripadvisor.com/media/photo-s/05/45/fc/f8/choco-soufle.jpg
Fratellino,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-452-0068,"264 Miracle Mile, Coral Gables, FL 33134-5908",508 opiniones,"5,0",No disponible,No disponible,tarantini.sergio@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/07/32/01/09/fratellino.jpg
Frenchie's Diner,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-442-4554,"2618 Galiano St, Coral Gables, FL 33134-6113",72 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/03/93/c0/3f/frenchie-s-diner.jpg
Friend’s Market and Bistro,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-431-0981,"31 SE 6th St, Miami, FL 33131-3098",41 opiniones,"4,0",No disponible,No disponible,friendsmarketbistro@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/13/7b/a1/4e/pancake-fruit-with-nutella.jpg
Fritz and Franz Bierhaus,Miami,Alemana,Moderado-Alto,€€ - €€€,+1 305-774-1883,"60 Merrick Way, Coral Gables, FL 33134-5319",183 opiniones,"4,5",http://www.bierhaus.cc/,https://www.tripadvisor.es/Restaurant_Review-g34152-d643726-Reviews-Fritz_and_Franz_Bierhaus-Coral_Gables_Florida.html#,miamibierhaus@aol.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/bb/dd/43/1200-bottles.jpg
Full Bloom Vegan,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-397-8018,"1670 James Ave Inside the Crest Hotel and Suites, Miami Beach, FL 33139-3115",351 opiniones,"4,5",No disponible,No disponible,marketingfullbloomvegan@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/7e/84/fa/happy-sunday-with-veganism.jpg
Gallura,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-477-1836,"6345 Collins Ave Suite 23, Miami Beach, FL 33141",25 opiniones,"4,0",https://www.facebook.com/gallurarestaurant/,No disponible,gallura444@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/17/c1/f8/f2/ready-for-dinner.jpg
Gauchos Gourmet Market,Miami,Española,Moderado-Alto,€€ - €€€,+13054180887,"14291 SW 42nd St, Miami, FL 33175-6408",49 opiniones,"4,0",http://gauchosmarket.com/,http://gauchosmarket.com/#Menu,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/4f/d2/67/the-wall-plenty-of-great.jpg
George's Italian Restaurant and Lounge,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-864-5586,"300 72nd St, Miami Beach, FL 33141-3008",375 opiniones,"4,5",http://www.georgesmiamibeach.com/,No disponible,info@georgesmiamibeach.com,https://media-cdn.tripadvisor.com/media/photo-s/01/c6/97/36/george-s-italian-restaurant.jpg
Giache Crepes,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 786-401-6957,"295 NW 27th St, Miami, FL 33127-4121",9 opiniones,"4,5",http://www.giachecrepes.com/,https://www.giachecrepes.com/menu,info@giachecrepes.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/0c/ce/92/giache-rolls.jpg
Giotto Maestro della Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-532-1138,"959 West Ave Suite 2, Miami Beach, FL 33139-5201",467 opiniones,"4,5",No disponible,No disponible,pizzagiotto@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/6e/a0/f2/our-tasty-pizzas-are.jpg
Giovanni's Ristorante,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-262-6966,"8520 SW 8th St, Miami, FL 33144-4053",36 opiniones,"4,5",No disponible,No disponible,giovannis8522@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/07/94/10/81/giovanni-s-ristorante.jpg
Gourmandine,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-763-8685,"6635 S Dixie Hwy, Miami, FL 33143-7919",3 opiniones,"3,5",No disponible,No disponible,contactgourmandine@gmail.com,No disponible
Groovy's Pizza and Bar,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-763-8556,"938 Lincoln Rd, Miami Beach, FL 33139-2602",9 opiniones,"4,0",http://www.groovysbar.com/,https://www.groovysbar.com/menu,info@groovysbar.com,https://media-cdn.tripadvisor.com/media/photo-s/15/b9/cc/42/hookah.jpg
Happy Wine in the Grove,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-460-9939,"2833 Bird Ave, Miami, FL 33133-4659",110 opiniones,"4,5",http://www.happywineco.com/,No disponible,info@happywineco.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/de/52/d5/photo2jpg.jpg
Harat's Pub,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-502-8882,"1248 Washington Ave, Miami Beach, FL 33139-4614",21 opiniones,"4,0",https://miami.harats.com/5204/,https://www.grubhub.com/restaurant/harats-pub-1248-washington-ave-miami-beach/1141571,usa@harats.com,https://media-cdn.tripadvisor.com/media/photo-s/16/1e/19/60/grand-opening.jpg
Harry's Pizzeria,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-275-4963,"3918 N Miami Ave, Miami, FL 33127-2918",238 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d2363706-Reviews-Harry_s_Pizzeria-Miami_Florida.html#,CONTACT@HARRYSPIZZERIA.COM,https://media-cdn.tripadvisor.com/media/photo-s/1d/1c/45/b7/pizza.jpg
Harry's Pizzeria - Coconut Grove,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-655-0121,"2996 McFarlane Rd, Miami, FL 33133-6011",216 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34438-d8722495-Reviews-Harry_s_Pizzeria_Coconut_Grove-Miami_Florida.html#,cocnutgrove@harryspizzeria.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/8d/1b/2b/cozy-seating-nice-ambiance.jpg
Hookah Exotix,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-689-5445,"723 N Lincoln Ln # 33139 Sky Yard Rooftop Bar, Miami Beach, FL 33139-2826",39 opiniones,"5,0",https://www.hookahexotix.com/,https://www.hookahexotix.com/menu,hookahexotix@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/fb/2b/8e/mexanica-smoke-the-best.jpg
Hosteria Romana,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-532-4299,"429 Espanola Way, Miami Beach, FL 33139-8124",2750 opiniones,"4,0",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d438251-Reviews-Hosteria_Romana-Miami_Beach_Florida.html#,info@hosteriaromana.com,https://media-cdn.tripadvisor.com/media/photo-p/1b/1f/3b/be/photo1jpg.jpg
Il Baretto Ristorante,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-531-0321,"1670 James Ave Crest Hotel Suites, Miami Beach, FL 33139-3115",1 opinión,"5,0",No disponible,No disponible,reservations@cresthotel.com,No disponible
Il Bolognese,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-455-0399,"1400 Ocean Dr, Miami Beach, FL 33139-4108",1503 opiniones,"4,5",http://www.ilbolognese.com/,https://www.ilbolognese.com/menu-ocean/,info@ilbolognese.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/c0/18/c5/awesome-breakfast-the.jpg
Il Giardino,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-397-8804,"1236 Ocean Drive, Miami Beach, FL 33139",968 opiniones,"3,0",No disponible,No disponible,guestservices@ilgiardinomiami.com,https://media-cdn.tripadvisor.com/media/photo-s/12/23/90/6c/our-pastas-are-the-perfect.jpg
IL Pastaiolo,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-362-0152,"1130 Collins Ave, Miami Beach, FL 33139-4624",1746 opiniones,"5,0",No disponible,No disponible,ilpastaiolo@firstclasshg.com,https://media-cdn.tripadvisor.com/media/photo-s/26/99/08/8b/il-pastaiolo-italian.jpg
Ironside Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-203-3218,"7580 NE 4th Ct, Miami, FL 33138",229 opiniones,"4,0",No disponible,No disponible,events@pizzaironside.com,https://media-cdn.tripadvisor.com/media/photo-s/22/09/d3/73/spaces.jpg
