,Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen,latitude,longitude
314,Hye Cuisine,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-278-0102,"2110 W Whittier Blvd, Montebello, CA 90640-4013",12 reviews,4.5,https://www.facebook.com/HCArmenianMediterranean/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/87/97/a7/chicken-breast-kabob.jpg,34.0111213,-118.1128976
315,Hyperion Public,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-761-6440,"2538 Hyperion Ave, Los Angeles, CA 90027-3305",32 reviews,4.5,No disponible,No disponible,info@hyperionpublic.com,https://media-cdn.tripadvisor.com/media/photo-s/10/63/75/a3/photo2jpg.jpg,34.1053418,-118.2726644
316,Ike's Love & Sandwiches,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-204-7090,"3895 Overland Ave, Culver City, CA 90232-3306",1 review,4.5,http://www.ikessandwich.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1d/86/cb/bf/ike-s.jpg,34.01688824879098,-118.40565115559762
317,Il Buco,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-657-1345,"107 N Robertson Blvd, Beverly Hills, CA 90211-2103",27 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/21/0c/21/photo0jpg.jpg,34.06721478059208,-118.383787986287
318,Il Capriccio on Vermont,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-662-5900,"1757 N Vermont Ave, Los Angeles, CA 90027-4305",103 reviews,4.5,http://ilcapricc.io/home,https://www.tripadvisor.com/Restaurant_Review-g32655-d360475-Reviews-Il_Capriccio_on_Vermont-Los_Angeles_California.html#,mail@ilcapriccioonvermont.com,https://media-cdn.tripadvisor.com/media/photo-s/06/e2/a3/88/il-capriccio-on-vermont.jpg,34.1030302,-118.2919284
319,Il Fornaio,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-725-9555,"1800 Rosecrans Ave Ste F, Manhattan Beach, CA 90266-3773",246 reviews,4.5,http://www.ilfornaio.com/,https://www.ilfornaio.com/manhattan-beach-menus/,MANHATTANBEACH@ILFO.COM,https://media-cdn.tripadvisor.com/media/photo-s/01/a0/09/c3/main-dining-area.jpg,None,None
320,Il Fornaio,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-550-8330,"301 N Beverly Dr, Beverly Hills, CA 90210-4713",569 reviews,4.5,http://www.ilfornaio.com/,https://www.ilfornaio.com/beverly-hills-menus/,beverlyhills@ilfo.com,https://media-cdn.tripadvisor.com/media/photo-o/04/82/a8/1d/bianco-mangiare-ai-frutti.jpg,34.068534,-118.40068
321,Il Fornaio,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-683-9797,"24 W Union St, Pasadena, CA 91103-3627",289 reviews,4.5,http://www.ilfornaio.com/,https://www.ilfornaio.com/pasadena-menus/,pasadena@ilfo.com,https://media-cdn.tripadvisor.com/media/photo-s/0d/06/6a/f1/pasadena.jpg,34.14684342105263,-118.15128086842105
322,Il Fornaio Cucina Italiano - Woodland Hills,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-297-1700,"6320 Topanga Canyon Blvd. Suite 1640, Los Angeles, CA 91367",68 reviews,4.5,https://www.ilfornaio.com/location/il-fornaio-woodland-hills/,https://www.ilfornaio.com/woodland-hills-menus/,woodlandhills@ilfo.com,https://media-cdn.tripadvisor.com/media/photo-s/11/51/00/2e/a-varied-menu-including.jpg,None,None
323,Il Pastaio,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-205-5444,"400 N Canon Dr, Beverly Hills, CA 90210-4820","1,053 reviews",4.5,http://www.giacominodrago.com/pastaio.htm,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/7d/a9/d8/20180325-131247-largejpg.jpg,34.070775,-118.400911
324,Il Saggio,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-490-7130,"5427 E Washington Blvd, Commerce, CA 90040-2105",12 reviews,4.5,https://www.facebook.com/pages/category/Italian-Restaurant/Il-saggio-212310615450382/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/21/d2/62/ca/caption.jpg,34.00132042476241,-118.16248672214762
325,Il Tramezzino,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-273-0501,"454 N Canon Dr, Beverly Hills, CA 90210-4820",43 reviews,4.5,http://iltram.net/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/6f/f2/bd/photo0jpg.jpg,34.07163436290189,-118.4017745707627
326,Il Tramezzino,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-784-2244,"13031 Ventura Blvd, Los Angeles, CA 91604-2237",30 reviews,4.5,http://iltram.net/,https://www.tripadvisor.com/Restaurant_Review-g32655-d798801-Reviews-Il_Tramezzino-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/83/85/fb/seating-area-front-salmon.jpg,34.14528623469388,-118.41642815306122
327,Isabella’s Italian Kitchen,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-556-6550,"1220 W Burbank Blvd, Burbank, CA 91506-1416",10 reviews,4.5,https://www.facebook.com/Isabellasitaliankitchen/,No disponible,isabellasitaliankitchen1220@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/13/13/58/b3/it-smelled-so-good-i.jpg,None,None
328,Italy's Little Kitchen,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-645-1220,"8516 Lincoln Blvd, Los Angeles, CA 90045-3502",130 reviews,4.5,https://italyslittlekitchen.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d374714-Reviews-Italy_s_Little_Kitchen-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/12/79/b1/2b/mista-salad.jpg,33.96041293877551,-118.41999178571429
329,Ivanhoe Restaurant & Bar,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-665-0211,"2500 Riverside Dr, Los Angeles, CA 90039-4025",2 reviews,4.5,No disponible,No disponible,gm@ivanhoela.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/04/1d/42/stack-of-pancake.jpg,34.106018,-118.256715
330,J Trani's Ristorante,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-832-1220,"584 W 9th St, Los Angeles, CA 90731-3106",69 reviews,4.5,http://www.jtranis.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d861033-Reviews-J_Trani_s_Ristorante-Los_Angeles_California.html#,tranigm@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/12/d4/01/20160117-184038-largejpg.jpg,33.73612414285714,-118.28971214285714
331,Jaffa,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-433-4978,"8048 W 3rd St, Los Angeles, CA 90048-4307",33 reviews,4.5,No disponible,No disponible,inquiries@jaffa.la,https://media-cdn.tripadvisor.com/media/photo-s/11/fd/75/95/nice-open-air-atmosphere.jpg,34.071946947368424,-118.36517292105263
332,Johnnie's New York Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-553-1188,"10251 Santa Monica Blvd, Los Angeles, CA 90067-6403",10 reviews,4.5,http://www.johnniesnypizza.com/stores/9001?latitude=34.0522342&longitude=-118.2436849,http://www.johnniesnypizza.com/our_food/our_menu.html,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/b3/a4/2b/the-front-of-johnnie.jpg,34.05955682273543,-118.42045139399573
333,Johnnie's New York Pizzeria,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-613-9972,"350 S Grand Ave, Los Angeles, CA 90071",6 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/7a/04/a2/johnnie-s-new-york-pizzeria.jpg,34.0514279,-118.2516269
334,Johnny Carino's,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 562-803-0108,"12036 Lakewood Blvd, Downey, CA 90242-2661",26 reviews,4.5,http://www.carinos.com/,https://www.tripadvisor.com/Restaurant_Review-g32308-d812756-Reviews-Johnny_Carino_s-Downey_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0a/51/5d/bf/photo0jpg.jpg,33.925800115657154,-118.13127885060645
335,Jon & Vinny's Brentwood,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-442-2733,"11938 San Vicente Blvd, Los Angeles, CA 90049-5004",21 reviews,4.5,http://www.jonandvinnys.com/home,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/ce/b8/b4/jon-vinny-s-brentwood.jpg,None,None
336,Jones,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-850-1726,"7201 Santa Monica Blvd, West Hollywood, CA 90046-6718",72 reviews,4.5,http://www.joneshollywood.com/location.php,https://www.tripadvisor.com/Restaurant_Review-g33252-d509388-Reviews-Jones-West_Hollywood_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/03/b2/91/61/jones.jpg,34.090795,-118.346375
337,Joseph's Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 844-999-9009,"1775 Ivar Ave, Los Angeles, CA 90028-5105",5 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d364823-Reviews-Joseph_s_Cafe-Los_Angeles_California.html#,No disponible,No disponible,34.103307428571426,-118.328272
338,Julienne,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-441-2299,"2649 Mission St, San Marino, CA 91108-1639",183 reviews,4.5,http://www.juliennetogo.com/,https://www.tripadvisor.com/Restaurant_Review-g33029-d344281-Reviews-Julienne-San_Marino_California.html#,julie@julienne.us,https://media-cdn.tripadvisor.com/media/photo-s/17/28/37/9f/french-toast.jpg,34.1162254,-118.1380014
339,Justice Urban Tavern,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-253-9235,"120 S Los Angeles St, Los Angeles, CA 90012-3724",149 reviews,4.5,No disponible,No disponible,karen.lewis@justicela.com,https://media-cdn.tripadvisor.com/media/photo-s/05/e7/68/87/justice-urban-tavern.jpg,34.0505025,-118.2427134123101
340,Kaban Persian Restaurant Inc.,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-498-0080,"3250 Cahuenga Blvd W, Los Angeles, CA 90068-1302",8 reviews,4.5,No disponible,No disponible,KabanPersianRestaurant@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/12/49/4e/7c/chicken-kabobs-shirazi.jpg,34.12983587365543,-118.3490921798821
341,Kassi Club,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-545-6743,"8422 W 3rd St, Los Angeles, CA 90048-4112",7 reviews,4.5,No disponible,No disponible,press@thekassi.com,https://media-cdn.tripadvisor.com/media/photo-s/19/72/a5/26/delicious.jpg,34.07299733333333,-118.37376727777777
342,Kendall’s Brasserie,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-972-7322,"135 N Grand Ave The Music Center, Los Angeles, CA 90012-3013",7 reviews,4.5,No disponible,No disponible,info@kendallsla.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/8d/98/53/rotisserie-chicken.jpg,None,None
343,Kettle Black,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-641-3705,"3705 W Sunset Blvd, Los Angeles, CA 90026-1527",20 reviews,4.5,http://www.kettleblackla.com/,http://www.kettleblackla.com/#the-menu,info@kettleblackla.com,https://media-cdn.tripadvisor.com/media/photo-s/12/e3/f3/e1/dining-room.jpg,34.090645442945345,-118.27784490219202
344,Knead & Co,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,No disponible,"317 S Broadway, Los Angeles, CA 90013-1222",23 reviews,4.5,http://kneadbakingcompany.com/KNEAD/KNEAD.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/c4/91/3e/knead-co.jpg,None,None
345,Knight Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-845-4516,"138 N San Fernando Blvd, Burbank, CA 91502-1207",17 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/14/87/19/eb/lamb-gyro-special-great.jpg,34.181300963547905,-118.30951036153508
346,Kombu Sushi,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-663-1048,"3719 W Sunset Blvd, Los Angeles, CA 90026-1527",5 reviews,4.5,No disponible,No disponible,kombusilverlake@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/17/81/ab/98/sashimi-plate-dinner.jpg,34.09068996063151,-118.27795749764192
347,Kourosh Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-696-5000,"22635 Ventura Blvd Unit A WOODLAND HILLS Next To Smart & Final, Los Angeles, CA 91364-1419",1 review,4.5,http://www.kouroshrestaurant.com/,https://www.kouroshrestaurant.com/menue1.html,sibak9@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/ab/c7/43/our-restaurant.jpg,None,None
348,Koutoubia,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-475-0729,"2116 Westwood Blvd, Los Angeles, CA 90025-6331",19 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/a6/c6/6e/excellent-couscous.jpg,34.045009489795916,-118.4325859387755
349,L.A.'S Best Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-772-6111,"20926 Lassen St Chatsworth, Los Angeles, CA 91311-4227",1 review,4.5,No disponible,No disponible,No disponible,No disponible,34.24989745833333,-118.58934604166666
350,L'Antica Pizzeria Da Michele,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-366-2408,"1534 N McCadden Pl, Los Angeles, CA 90028",67 reviews,4.5,https://damicheleusa.com/,No disponible,info@damicheleusa.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/f4/83/d5/photo2jpg.jpg,34.099147333333335,-118.33747133333333
351,La Boheme,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-848-2360,"8400 Santa Monica Blvd, West Hollywood, CA 90069-4296",167 reviews,4.5,No disponible,No disponible,laboheme@globaldiningca.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/11/17/bb/our-new-renovated-outdoor.jpg,34.0903556,-118.3736348
352,La Bottega Marino,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-962-1325,"203 N Larchmont Blvd, Los Angeles, CA 90004-3706",3 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d364817-Reviews-La_Bottega_Marino-Los_Angeles_California.html#,No disponible,No disponible,34.07696967839196,-118.32374056281407
353,La Bruschetta Ristorante,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 424-273-4892,"1621 Westwood Blvd, Los Angeles, CA 90024-5603",71 reviews,4.5,http://www.labruschettarestaurant.com/,No disponible,info@lbwestwood.com,https://media-cdn.tripadvisor.com/media/photo-s/12/2d/d5/cc/dining-room.jpg,34.052563000000006,-118.43948567346939
354,La Cava,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-981-1517,"13565 Ventura Blvd Sherman Oaks, Los Angeles, CA 91423-3825",43 reviews,4.5,http://www.lacavashermanoaks.com/,http://www.lacavashermanoaks.com/lunch-menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/50/11/75/20170517-194355-largejpg.jpg,34.1492629,-118.4386981
355,La Español Meats Inc,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-539-0455,"25020 Doble Ave Harbor City, Los Angeles, CA 90710-3155",6 reviews,4.5,No disponible,No disponible,info@laespanolameats.com,https://media-cdn.tripadvisor.com/media/photo-s/17/30/36/aa/our-delicious-tapas.jpg,33.795146181208054,-118.29168006711409
356,La Fonda on Wilshire,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,2133805053232,"2501 Wilshire Blvd, Los Angeles, CA 90057-4302",9 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/fa/17/58/la-fonda-on-wilshire.jpg,34.060241,-118.280623
357,La Loggia Ristorante,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-985-9222,"11814 Ventura Blvd, Los Angeles, CA 91604-2617",19 reviews,4.5,http://laloggiastudiocity.com/,http://www.laloggiastudiocity.com/wp-content/uploads/2015/02/LALOGGIA_Food-Menu.jpg,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0a/a2/ac/61/photo2jpg.jpg,34.142000787878786,-118.38951366666667
358,La Paella,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-951-0745,"476 S San Vicente Blvd, Los Angeles, CA 90048-4107",95 reviews,4.5,http://www.usalapaella.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d350108-Reviews-La_Paella-Los_Angeles_California.html#,paellacorner@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/69/8e/43/the-lovely-restaurant.jpg,34.06895997959183,-118.37471571428571
359,La Pergoletta,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-664-8259,"1802 Hillhurst Ave, Los Angeles, CA 90027-4408",46 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/08/d6/42/66/lovely-ambience.jpg,34.1038687,-118.286982
360,La Piazza the Grove,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-933-5050,"189 The Grove Dr The Grove Ste. G90, Los Angeles, CA 90036-6222",243 reviews,4.5,http://lapiazzathegrove.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d350640-Reviews-La_Piazza_the_Grove-Los_Angeles_California.html#,event@lapiazzathegrove.com,https://media-cdn.tripadvisor.com/media/photo-s/05/c5/23/f5/la-piazza-ristorante.jpg,None,None
361,La Poubelle,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-465-0807,"5907 Franklin Ave, Los Angeles, CA 90028-5515",70 reviews,4.5,http://www.lapoubellebistro.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/10/d6/21/coq-a-vin-the-best-chicken.jpg,34.10548795,-118.31834346846256
362,La Scala,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-275-0579,"434 N Canon Dr, Beverly Hills, CA 90210-4820",181 reviews,4.5,http://www.lascalabeverlyhills.com/,https://www.tripadvisor.com/Restaurant_Review-g32070-d468377-Reviews-La_Scala-Beverly_Hills_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/3a/84/36/photo1jpg.jpg,34.071315088705674,-118.40145571228808
363,La Scala,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-826-6100,"11740 San Vicente Blvd, Los Angeles, CA 90049-6610",20 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/11/af/3e/0c/chopped-salad.jpg,None,None
364,La Table de Sophie and Le Bar de Simon,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-441-5384,"1386 Westwood Blvd, Los Angeles, CA 90024-4980",7 reviews,4.5,No disponible,No disponible,tabledesophie@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/99/15/3c/cover.jpg,34.0556325,-118.44181675
365,La Vecchia Cucina,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-399-7979,"2654 Main St Ste D, Santa Monica, CA 90405-4066",509 reviews,4.5,http://www.lavecchiacucina.com/,https://www.tripadvisor.com/Restaurant_Review-g33052-d350196-Reviews-La_Vecchia_Cucina-Santa_Monica_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/93/a7/e5/farfalle-la-vecchia-with.jpg,None,None
366,La Vie,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-571-1180,"2547 San Gabriel Blvd, Rosemead, CA 91770-5208",19 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32987-d346375-Reviews-La_Vie-Rosemead_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/b1/14/32/la-vie.jpg,34.0617595,-118.0905304
367,Lala's Argentine Grill,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-934-6838,"7229 Melrose Ave, Los Angeles, CA 90046-7619",226 reviews,4.5,http://menewly.com/lalas,https://menewly.com/lalas,info@lalasgrill.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/7f/b4/97/lala-s-at-night.jpg,34.08357566666667,-118.34690108333334
368,LaRocco's Pizzeria Westchester,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-642-0029,"8806 S Sepulveda Blvd, Los Angeles, CA 90045",15 reviews,4.5,https://laroccospizzeria.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d4225840-Reviews-LaRocco_s_Pizzeria_Westchester-Los_Angeles_California.html#,rjkv2@yahoo.com,https://media-cdn.tripadvisor.com/media/photo-s/18/b3/34/4d/photo0jpg.jpg,33.955767004458714,-118.39637796925336
369,Layla Mediterranean Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-310-2999,"11906 Wilshire Blvd, Los Angeles, CA 90025-6632",6 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d1947329-Reviews-Layla_Mediterranean_Cafe-Los_Angeles_California.html#,info@laylacafe.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/f7/e7/6d/layla-mediterranean-cafe.jpg,34.04630199444172,-118.46489713187066
370,Le Bon Garcon,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 424-272-6677,"5158 Hollywood Blvd, Los Angeles, CA 90027-6114",0 reviews,4.5,No disponible,No disponible,hi@lebongarcon.com,No disponible,34.10167083333334,-118.30245500000001
371,Le Pain Quotidien,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-824-7900,"1055 Broxton Ave, Los Angeles, CA 90024-2803",23 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d810310-Reviews-Le_Pain_Quotidien-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/eb/2b/76/le-pain-quotidien.jpg,34.0614636,-118.446453
372,Le Pain Quotidien,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-859-1100,"9630 S Santa Monica Blvd, Beverly Hills, CA 90210",115 reviews,4.5,https://www.lepainquotidien.com/us/en/locations/beverly_hills/9630-s-santa-monica-blvd?utm_source=yext&utm_medium=business-listing&utm_campaign=&y_source=1_Nzg1ODU0Ny03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.lepainquotidien.com/us/en/menu,bonjour@lepainquotidien.com,https://media-cdn.tripadvisor.com/media/photo-p/14/7a/9c/50/photo0jpg.jpg,34.0718843,-118.4018711
373,Le Pain Quotidien,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-859-1100,"9630 S Santa Monica Blvd, Beverly Hills, CA 90210",115 reviews,4.5,No disponible,No disponible,bonjour@lepainquotidien.com,https://media-cdn.tripadvisor.com/media/photo-p/14/7a/9c/50/photo0jpg.jpg,34.0718843,-118.4018711
374,Le Pain Quotidien,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-596-4863,"9901 Washington Blvd Ste 102, Los Angeles, CA 90232",5 reviews,4.5,No disponible,No disponible,bonjour@lepainquotidien.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/c7/7f/9d/outside.jpg,None,None
375,Le Petit Four,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-652-3863,"8654 W Sunset Blvd, West Hollywood, CA 90069-2302",475 reviews,4.5,http://www.lepetitfour.net/,https://www.tripadvisor.com/Restaurant_Review-g33252-d350474-Reviews-Le_Petit_Four-West_Hollywood_California.html#,lepetitfourla@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/12/b1/89/fe/good-vibes.jpg,34.0917808,-118.3802718
376,Le Petit Greek,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-464-5160,"127 N Larchmont Blvd, Los Angeles, CA 90004-3704",89 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/65/f5/63/photo1jpg.jpg,34.07649305527638,-118.32373865326633
377,Le Petit Jardin,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-278-5294,"1456 S Robertson Blvd, Los Angeles, CA 90035-3402",14 reviews,4.5,http://www.lepetitjardinla.com/,https://www.lepetitjardinla.com/menu,No disponible,No disponible,34.0531256,-118.383815
378,Le Petit Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-501-7999,"13360 Ventura Blvd, Los Angeles, CA 91423-3939",47 reviews,4.5,http://lepetitrestaurant.net/,https://www.tripadvisor.com/Restaurant_Review-g32655-d468792-Reviews-Le_Petit_Restaurant-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/03/fe/7f/6f/le-petit-restaurant.jpg,34.14677861764706,-118.42423935294119
379,Lido Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-781-2551,"15232 Victory Blvd Van Nuys, Los Angeles, CA 91411-1717",46 reviews,4.5,http://www.chichispizza.com/,https://www.chichispizza.com/menus,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/ab/0c/ae/lido-pizza.jpg,34.186569,-118.464898
380,Little Belize Restaurant Caribbean Cuisine,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-674-0696,"217 E Nutwood St, Inglewood, CA 90301-2311",7 reviews,4.5,http://www.littlebelizerestaurant.com/,https://littlebelizerestaurant.com/#menu,littlebelizeinc@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/07/35/6c/8c/little-belize-carribbean.jpg,33.960575489795914,-118.35308789795918
381,Little Dom's,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-661-0055,"2128 Hillhurst Ave, Los Angeles, CA 90027-2012",189 reviews,4.5,http://www.littledoms.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/7d/7f/66/chicken-parmesan-sandwich.jpg,34.1108665,-118.2872699
382,Lomeli's Italian Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-323-7993,"2223 W Redondo Beach Blvd, Gardena, CA 90247-3626",127 reviews,4.5,http://lomelis.com/?y_source=1_MTg1NDA3MDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,http://places.singleplatform.com/lomelis-italian-restaurant-2/menu#menu_3226555,info@lomelis.com,https://media-cdn.tripadvisor.com/media/photo-s/03/97/cb/68/lomeli-s-italian-restaurant.jpg,33.8923657,-118.2957072
383,Louigi's Italian Kitchen,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-477-4500,"1644 Sawtelle Blvd, Los Angeles, CA 90025-3149",29 reviews,4.5,http://www.louigiswla.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d925927-Reviews-Louigi_s_Italian_Kitchen-Los_Angeles_California.html#,louigiswla@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/19/9a/d0/06/louigi-s-italian-kitchen.jpg,34.04620855555556,-118.44805588888889
