Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
Butcher’s Dog,Los Angeles,Gastropub,Moderado-Alto,$$ - $$$,+1 310-444-2929,"11301 W Olympic Blvd Olympic Collection, Los Angeles, CA 90064-1653",7 reviews,3.5,No disponible,No disponible,info@butchersdogla.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/4e/57/14/bar.jpg
C & O Cucina,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-301-7278,"3016 Washington Blvd, Marina del Rey, CA 90292-5549",298 reviews,4.0,http://www.cocucina.com/,No disponible,jaime@cotrattoria.com,https://media-cdn.tripadvisor.com/media/photo-o/04/41/3b/64/c-o-cucina.jpg
Ca' Del Sole,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-985-4669,"4100 Cahuenga Blvd, Los Angeles, CA 91602-2831",194 reviews,4.5,http://cadelsole.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/24/42/ef/bigoli-ca-del-sole.jpg
Café Amici Beverly Hills,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-858-0271,"469 N Doheny Dr, Beverly Hills, CA 90210-3967",132 reviews,4.5,https://www.cafeamicibeverlyhills.com/,http://www.hotelbeverlyterrace.com/wp-content/uploads/2020/04/Amici_TakeOutMenu_April2.pdf,michele@cafferomabeverlyhills.com,https://media-cdn.tripadvisor.com/media/photo-s/0f/12/0c/2e/photo1jpg.jpg
Cafe Angelino,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-246-1177,"8735 W 3rd St, Los Angeles, CA 90048-3803",62 reviews,4.0,http://cafeangelino.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d350275-Reviews-Cafe_Angelino-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/0d/e0/45/04/halibut-lunch-special.jpg
Cafe Beaujolais,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 323-255-5111,"1712 Colorado Blvd, Los Angeles, CA 90041-1338",89 reviews,4.5,http://cafe-beaujolais.business.site/,https://www.tripadvisor.com/Restaurant_Review-g32655-d364692-Reviews-Cafe_Beaujolais-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/2a/2d/b0/pork-tenderloin.jpg
Cafe Crepe,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 213-542-3400,"800 N Alameda St Union Station, Los Angeles, CA 90012-2177",35 reviews,4.5,http://cafecrepe.com/welcome/union-station/,https://cafecrepe.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-w/11/9b/69/82/a-perfect-quiet-date.jpg
Cafe Du Liban,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-705-3194,"19223 Ventura Blvd, Los Angeles, CA 91356-3122",6 reviews,4.5,No disponible,No disponible,info@cafeduliban.com,https://media-cdn.tripadvisor.com/media/photo-w/18/5c/a7/b1/chicken-salad-with-feta.jpg
Cafe Graikos,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-831-1187,"19346 Rinaldi St, Los Angeles, CA 91326-1607",18 reviews,4.0,http://www.cafegraikos.com/index.html,https://www.tripadvisor.com/Restaurant_Review-g32655-d779434-Reviews-Cafe_Graikos-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/d9/0e/ab/4-gyros-sandwich.jpg
Cafe Laurent,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 310-558-8622,"4243 Overland Ave, Culver City, CA 90230-3754",73 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32272-d508893-Reviews-Cafe_Laurent-Culver_City_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1c/38/4e/75/photo4jpg.jpg
Cafe Midi,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 323-939-9860,"148 S La Brea Ave, Los Angeles, CA 90036-2910",26 reviews,4.5,https://cafemidi.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d491384-Reviews-Cafe_Midi-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/93/48/42/photo4jpg.jpg
Cafe Santorini,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 626-564-4200,"64 W Union St, Pasadena, CA 91103-3627",490 reviews,4.5,No disponible,No disponible,rococo@cafesantorini.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/72/87/be/img-20191230-152657-largejpg.jpg
Cafe Sole,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-790-6062,"1929 Verdugo Blvd, La Canada Flintridge, CA 91011-3000",55 reviews,4.5,http://www.cafesolelacanada.com/,http://www.cafesolelacanada.com/menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-o/03/a7/af/d6/yummmm-custom-made-iced.jpg
Cafe Stella,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 323-666-0265,"3932 W Sunset Blvd, Los Angeles, CA 90029-2242",90 reviews,4.0,http://cafestella.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/6d/3c/ef/eggs-benedict-auf-kartoffelnes.jpg
Cafe Verona,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-934-6188,"201 S La Brea Ave, Los Angeles, CA 90036-3022",78 reviews,4.0,http://www.cafeveronala.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/13/f7/87/f4/photo2jpg.jpg
Caffé Bene Wilshire,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 213-384-3713,"3287 Wilshire Blvd Ste B, Los Angeles, CA 90010-1401",7 reviews,4.0,No disponible,No disponible,caffebenewilshire2@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/16/7b/22/f9/20190215-140834-largejpg.jpg
Caffe Italia,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-465-3690,"14056 Burbank Blvd, Los Angeles, CA 91401-5030",5 reviews,4.5,https://www.facebook.com/caffeitaliala/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/b2/d2/42/caffe-italia.jpg
Caffe Pinguini,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-306-0117,"6935 Pacific Ave, Los Angeles, CA 90293-7674",104 reviews,4.5,http://caffepinguini.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/0d/63/c0/d3/filet-mignon.jpg
Caffe Roma,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-274-7834,"350 N Canon Dr Ste 13, Beverly Hills, CA 90210-4700",114 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/02/31/ec/e6/caffe-roma-caprese-salad.jpg
Caioti Pizza Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-761-3588,"4346 Tujunga Ave, Los Angeles, CA 91604-2751",37 reviews,4.0,http://www.caiotipizzacafe.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d357549-Reviews-Caioti_Pizza_Cafe-Los_Angeles_California.html#,caioti@earthlink.net,https://media-cdn.tripadvisor.com/media/photo-s/1d/90/78/29/caption.jpg
California Pizza Kitchen,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-626-2616,"330 S Hope St Wells Fargo Center, Los Angeles, CA 90071-3115",40 reviews,4.0,http://www.cpk.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/11/d5/bf/18/california-pizza-kitchen.jpg
california PIZZA KITCHEN,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-460-2080,"6801 Hollywood Blvd Ste 255, West Hollywood, CA 90028-6136","1,236 reviews",4.0,https://www.cpk.com/Location/Details/Hollywood,https://www.tripadvisor.com/Restaurant_Review-g33252-d376005-Reviews-California_PIZZA_KITCHEN-West_Hollywood_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/02/86/4d/f1/california-pizza-kitchen.jpg
California Pizza Kitchen Century City,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 424-363-1235,"10250 Santa Monica Blvd Ste 2800 Westfield Century City, Los Angeles, CA 90067",14 reviews,3.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d12614592-Reviews-California_Pizza_Kitchen_Century_City-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/13/d9/26/21/photo0jpg.jpg
California Pizza Kitchen Culver City,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-287-2727,"10704 Venice Blvd, Culver City, CA 90232-3310",18 reviews,4.0,https://locations.cpk.com/ll/US/CA/Culver-City/10704-Venice-Blvd_,https://www.tripadvisor.com/Restaurant_Review-g32272-d3821294-Reviews-California_Pizza_Kitchen_Culver_City-Culver_City_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/dd/28/92/photo0jpg.jpg
Cantalinis Salerno Beach Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-821-0018,"193 Culver Blvd Playa Del Rey, Los Angeles, CA 90293",139 reviews,4.5,http://salernobeach.com/,https://salernobeach.com/menu/dinner,lisa@cantalinis.com,https://media-cdn.tripadvisor.com/media/photo-s/05/59/4c/88/charming-decor.jpg
Carmine's,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-441-4706,"10463 Santa Monica Blvd, Los Angeles, CA 90025-5031",42 reviews,4.0,http://www.carminesla.com/,No disponible,kimatcarmines@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/08/85/c5/e7/carmines-ii.jpg
Carnival Restaurant,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-784-3469,"4356 Woodman Ave, Los Angeles, CA 91423-3031",85 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/e6/ea/91/20170407-200332-largejpg.jpg
Carousel Restaurant,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 323-660-8060,"5112 Hollywood Blvd, Los Angeles, CA 90027-6126",56 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-w/12/ed/9d/e5/carousel-restaurant.jpg
Carousel Restaurant,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-246-7775,"304 N Brand Blvd, Glendale, CA 91203-2304",160 reviews,4.5,No disponible,No disponible,info@carouselrestaurant.com,https://media-cdn.tripadvisor.com/media/photo-p/12/8f/56/06/photo0jpg.jpg
Caruso's Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-367-7766,"13737 Foothill Blvd Sylmar, Los Angeles, CA 91342-3105",18 reviews,4.5,http://www.carusositaliansylmar.com/,https://carusositaliansylmar.clorder.com/ordermenu.aspx,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/c0/f5/0b/thi-sis-the-main-dining.jpg
Casa Barilla,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-797-8933,"3201 S Hoover St, Los Angeles, CA 90007-3555",3 reviews,3.5,No disponible,No disponible,customer.relations@barillarestaurants.com,https://media-cdn.tripadvisor.com/media/photo-s/12/0a/df/38/spaghetti-polpettine.jpg
Casa Bianca Pizza Pie,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-256-9617,"1650 Colorado Blvd, Los Angeles, CA 90041-1436",106 reviews,4.5,http://www.casabiancapizza.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/af/67/93/eggplant-parm.jpg
Casa de Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-366-6311,"16161 San Fernando Mission Blvd, Los Angeles, CA 91344-3893",26 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/78/bf/8b/interior.jpg
Catering of Paris,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 800-679-4308,"3606 Holdrege Ave, Los Angeles, CA 90016-4304",0 reviews,No disponible,No disponible,No disponible,yuri@cateringofparis.com,No disponible
Celestino Ristorante & Bar,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-795-4006,"141 S Lake Ave, Pasadena, CA 91101-2673",197 reviews,4.0,http://www.celestinopasadena.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/92/ef/00/the-casually-elegant.jpg
Centanni Trattoria,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-561-4643,"117 N Victory Blvd, Burbank, CA 91502-1837",55 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/08/de/7b/1b/centanni-trattoria.jpg
Charcoal Grill & Bar,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 323-433-4787,"7563 Beverly Blvd, Los Angeles, CA 90036-2728",4 reviews,4.0,http://www.charcoalgrillbar.com/,http://www.charcoalgrillbar.com/lunch-menu/,info@charcoalgrillbar.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/a4/6e/ea/caption.jpg
Charlie's Trio,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-223-3871,"5769 Huntington Dr N, Los Angeles, CA 90032-1326",32 reviews,4.0,http://charliestrio.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d491135-Reviews-Charlie_s_Trio-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/86/41/f9/mmmm-pizza.jpg
Charlie's Trio Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-284-4943,"47 W Main St, Alhambra, CA 91801-3510",56 reviews,4.0,http://charliestriocafe.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/01/f8/e4/a3/diablo-salad.jpg
Checker Hall,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 323-509-7416,"104 N Avenue 56, Los Angeles, CA 90042-4112",4 reviews,5.0,No disponible,No disponible,info@checkerhall.com,https://media-cdn.tripadvisor.com/media/photo-s/11/db/0c/d3/checker-hall-bar.jpg
Cheebo,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-850-7070,"7533 W Sunset Blvd, Los Angeles, CA 90046-3407",138 reviews,4.5,http://www.cheebo.com/,http://www.cheebo.com/,info@cheebo.com,https://media-cdn.tripadvisor.com/media/photo-p/0f/ed/b3/c9/chocolate-walnut-carmel.jpg
Cheech's Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-666-7744,"2116 Hillhurst Ave, Los Angeles, CA 90027",10 reviews,4.0,https://www.cheechspizzalaca.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d4278195-Reviews-Cheech_s_Pizza-Los_Angeles_California.html#,cheechspizzainfo@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/15/8e/6d/6d/mediterranean-combo.jpg
Chef’s Shawarma,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 818-243-2433,"14511 Sylvan St Van Nuys, Los Angeles, CA 91411-2325",1 review,2.0,No disponible,No disponible,No disponible,No disponible
Chi Chi's Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-993-9911,"9080 Tampa Ave, Los Angeles, CA 91324-3523",41 reviews,4.5,http://www.chichispizza.com/,No disponible,info@chichispizza.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/db/f8/80/img-20180412-182649497.jpg
CinqueTerre West Osteria,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-454-0709,"970 Monument St Ste 110 Suite 110, Los Angeles, CA 90272-3870",13 reviews,4.5,http://www.cinqueterrewest.com/,No disponible,info@cinqueterrewest.com,https://media-cdn.tripadvisor.com/media/photo-s/18/d6/fb/92/photo0jpg.jpg
Cleo Third Street,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 323-579-1600,"8384 W 3rd St The Orlando Hotel, Los Angeles, CA 90048-4311",33 reviews,4.5,No disponible,No disponible,cleothirdstreet@sbe.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/f0/64/3d/ricotta-pancakes.jpg
Colombo's Italian Steak House,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-254-9138,"1833 Colorado Blvd, Los Angeles, CA 90041-1339",49 reviews,4.0,http://colombosrestaurant.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/7a/9c/29/colombo-s-italian-steak.jpg
Colori Kitchen,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-622-5950,"429 W 8th St, Los Angeles, CA 90014-3000",106 reviews,4.5,http://colorikitchentogo.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d1019708-Reviews-Colori_Kitchen-Los_Angeles_California.html#,colorikitchen@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/19/0f/a0/spaghetti-meat-balls.jpg
Compagnon Wine Bistro,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 424-342-9840,"335 W 7th St San Pedro, Los Angeles, CA 90731",22 reviews,5.0,No disponible,No disponible,thomas@compagnonbistro.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/8b/0e/de/compagnon-wine-bistro.jpg
Compari's Pizza & Italian,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-670-8122,"5490 W Centinela Ave, Los Angeles, CA 90045-2032",22 reviews,4.5,http://comparispizza.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/17/e0/fa/photo0jpg.jpg
Concerto,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-738-0909,"610 S Serrano Ave, Los Angeles, CA 90005-2847",18 reviews,4.5,http://www.concertousa.com/,No disponible,info@concertousa.com,https://media-cdn.tripadvisor.com/media/photo-p/14/3d/5b/02/photo2jpg.jpg
Cosa Buona Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-908-5211,"2100 W Sunset Blvd, Los Angeles, CA 90026-3125",8 reviews,4.5,http://www.cosabuona.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/ab/8f/cb/veggie-supreme.jpg
Creamy Spoon,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 818-696-2775,"106 N Glendale Ave, Glendale, CA 91206-4451",9 reviews,4.5,No disponible,No disponible,ara.babakhanyan@gmail.com,No disponible
Creme de la Crepe,Los Angeles,Francés,Moderado-Alto,$$ - $$$,+1 424-288-4031,"9111 W Olympic Blvd, Beverly Hills, CA 90212-3507",32 reviews,4.5,http://www.cremedelacrepe.com/,No disponible,crepebeverly@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/15/3d/ba/78/the-omelet.jpg
D'Amore's Pizza Connection,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-505-1111,"12910 Magnolia Blvd, Los Angeles, CA 91423-1662",3 reviews,4.0,No disponible,No disponible,No disponible,No disponible
D'Amore's Pizza Connection,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-348-5900,"20926 Lassen St, Los Angeles, CA 91311-4227",1 review,5.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d348876-Reviews-D_Amore_s_Pizza_Connection-Los_Angeles_California.html#,No disponible,No disponible
D'Amore's Pizza Connection,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-348-5900,"7137 Winnetka Ave, Los Angeles, CA 91306-3646",3 reviews,4.5,http://www.damorespizzamenu.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/ee/e6/9a/wow-s-me.jpg
D'Roma,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-600-7372,"1842 W Washington Blvd, Los Angeles, CA 90007-5407",0 reviews,No disponible,http://www.losangelessandwich.com/,https://www.ubereats.com/en-US/los-angeles/food-delivery/droma/fMhP3DpXQUSJMhbrXdkOGw/,deroma_la@icloud.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/79/1c/3b/classic-panini.jpg
Da Pasquale,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-859-3884,"9749 Santa Monica Blvd, Beverly Hills, CA 90210-4201",297 reviews,4.5,http://www.dapasqualecaffe.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/b2/4b/0c/20190807-182221-largejpg.jpg
Delancey,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-469-2100,"5936 W Sunset Blvd, Los Angeles, CA 90028-6521",70 reviews,4.0,http://delanceyhollywood.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/a1/a8/3c/delancey.jpg
Delicious Pizza,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 323-424-3014,"5419 W Adams Blvd, Los Angeles, CA 90016-2603",20 reviews,4.5,http://deliciouspizza.com/,https://deliciouspizza.com/media/DeliciousPizzaMenu-WA.pdf,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/0f/30/2f/05/delicious-mushroom-pizza.jpg
Delicious Pizza Sunset,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 323-467-3840,"6601 W Sunset Blvd, Los Angeles, CA 90028-7103",2 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/23/4c/21/50/delicious-pizza-sunset.jpg
Della Terra,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 323-933-7675,"7675 Beverly Blvd, Los Angeles, CA 90036-2727",62 reviews,4.0,No disponible,No disponible,michael@dellaterrarestaurant.com,https://media-cdn.tripadvisor.com/media/photo-s/10/ab/84/f9/brevi-costole-linguine.jpg
Delphi Greek Restaurant and Bar,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 310-478-2900,"1383 Westwood Blvd, Los Angeles, CA 90024-4940",31 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d379058-Reviews-Delphi_Greek_Restaurant_and_Bar-Los_Angeles_California.html#,info@delphirestaurant.com,https://media-cdn.tripadvisor.com/media/photo-s/07/40/aa/8b/delphi-greek.jpg
Deluca's Italian Deli,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 877-701-3354,"781 Americana Way, Glendale, CA 91210-1507",21 reviews,4.0,http://www.delucasdeli.com/index.html,https://www.delucasdeli.com/locations/century-city/menu/,info@delucasdeli.com,https://media-cdn.tripadvisor.com/media/photo-p/13/71/d1/3e/photo0jpg.jpg
Der Wolfskopf,Los Angeles,Alemán,Moderado-Alto,$$ - $$$,+1 626-219-6054,"72 N Fair Oaks Ave, Pasadena, CA 91103-3610",20 reviews,4.0,http://www.derwolfskopf.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/eb/21/d5/storefront.jpg
DI Pilla's Italian Restaurant,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-286-0275,"9013 Valley Blvd, Rosemead, CA 91770-1917",36 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32987-d900732-Reviews-DI_Pilla_s_Italian_Restaurant-Rosemead_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/eb/79/55/old-school-since-1967.jpg
Diablo,Los Angeles,Gastropub,Moderado-Alto,$$ - $$$,+1 323-666-4666,"3129 W Sunset Blvd, Los Angeles, CA 90026-2131",17 reviews,4.0,No disponible,No disponible,Summer@diablotaco.com,https://media-cdn.tripadvisor.com/media/photo-s/0c/44/10/f5/photo2jpg.jpg
Dino's Pizza Burbank,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-841-3311,"3520 W Burbank Blvd, Burbank, CA 91505-2235",50 reviews,4.5,http://dinosburbank.com/,https://www.tripadvisor.com/Restaurant_Review-g32123-d555278-Reviews-Dino_s_Pizza_Burbank-Burbank_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/bf/6c/38/thick-crust-veggie-and.jpg
Divina Cucina,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 818-248-3077,"3730 Verdugo Rd, Montrose, CA 91020-1640",63 reviews,4.0,http://www.divinacucinarestaurant.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/18/0e/87/20170107-185155-largejpg.jpg
Divino,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-472-0886,"11714 Barrington Ct, Los Angeles, CA 90049-2930",74 reviews,4.0,http://www.divinobrentwood.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/61/2b/8d/photo0jpg.jpg
Dog Haus,Los Angeles,Gastropub,Moderado-Alto,$$ - $$$,+1 747-202-3349,"8931 Reseda Blvd South of Nordhoff St on Reseda Blvd, Los Angeles, CA 91324-3915",7 reviews,4.0,No disponible,No disponible,social@doghaus.com,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/87/09/dog-haus-the-absolute.jpg
Domenicos,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 626-797-6459,"2411 E Washington Blvd, Pasadena, CA 91104-2040",34 reviews,4.5,http://www.originaldomenicos.com/index.html,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1a/96/26/64/photo3jpg.jpg
Don Antonio's,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-209-1422,"1136 Westwood Blvd, Los Angeles, CA 90024-3412",8 reviews,4.5,http://www.donantoniosla.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/02/91/ab/5f/the-boss-don-antonio.jpg
Dr. Sandwich,Los Angeles,Mediterráneo,Moderado-Alto,$$ - $$$,+1 424-501-0099,"7475 Beverly Blvd, Los Angeles, CA 90036-2702",4 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d17625893-Reviews-Dr_Sandwich-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/c5/9c/83/half-beef-shwarma-on.jpg
Dudley Market,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 310-392-0825,"9 Dudley Ave, Los Angeles, CA 90291",35 reviews,4.0,No disponible,No disponible,hello@dudleymarketvenice.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/b4/2a/2a/photo1jpg.jpg
Eat Drink Americano,Los Angeles,Vinoteca,Moderado-Alto,$$ - $$$,+1 213-620-0781,"923 E 3rd St Suite 101, Los Angeles, CA 90013-1800",18 reviews,4.0,No disponible,No disponible,info@eatdrinkamericano.com,https://media-cdn.tripadvisor.com/media/photo-s/16/5d/93/85/eat-drink-americano-resides.jpg
Eatalian Cafe,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 310-532-8880,"15500 S Broadway, Gardena, CA 90248-2209",256 reviews,4.5,http://www.eataliancafe.com/,https://www.tripadvisor.com/Restaurant_Review-g32422-d1868598-Reviews-Eatalian_Cafe-Gardena_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0a/fa/14/d4/20160420-111921-largejpg.jpg
Eataly,Los Angeles,Italiano,Moderado-Alto,$$ - $$$,+1 213-310-8000,"10250 Santa Monica Blvd., Los Angeles, CA 90067",267 reviews,4.0,https://www.eataly.com/us_en/stores/los-angeles,No disponible,la-guestrelations@eataly.com,https://media-cdn.tripadvisor.com/media/photo-s/11/d6/06/fc/restaurant-area.jpg
